Année;Mois;Régulatité composite en %;Période;Ponctualité Origine en %;Axe
2018;1;88.3;2018-01;74.6;2
2019;2;93.0;2019-02;90.10000000000001;1
2019;2;90.60000000000001;2019-02;71.0;7
2019;2;91.2;2019-02;85.9;3
2019;2;89.8;2019-02;83.0;5
2019;3;90.60000000000001;2019-03;85.6;4
2018;7;82.8;2018-07;87.9;1
2018;8;90.10000000000001;2018-08;81.3;5
2018;7;89.9;2018-07;87.6;5
2018;5;92.5;2018-05;74.0;5
2018;5;88.6;2018-05;76.5;4
2018;4;87.8;2018-04;70.39999999999999;2
2015;6;88.17863397549999;2015-06;75.4348972061;2
2015;5;92.1741874408;2015-05;86.8411927878;1
2015;2;88.6430678466;2015-02;73.4554750746;2
2015;1;91.4851485149;2015-01;84.90566037740001;6
2015;2;91.1933860532;2015-02;85.9482758621;6
2015;5;90.4648795385;2015-05;86.1758691207;6
2015;6;92.6215572934;2015-06;85.9357277883;5
2016;3;89.76052848890001;2016-03;86.1010830325;1
2015;7;82.4476161555;2015-07;79.3914943688;1
2016;4;90.4657441782;2016-04;85.7620817844;1
2016;7;86.544930322;2016-07;81.7297488504;1
2016;7;85.0205320478;2016-07;80.52529182880001;3
2015;8;87.1633607483;2015-08;82.9605033205;3
2016;3;90.6818181818;2016-03;80.9090909091;4
2016;5;93.6626916525;2016-05;87.3804971319;5
2015;11;93.6765722184;2015-11;86.0696517413;5
2015;12;95.8885490996;2015-12;88.1845461365;5
2016;8;91.2303107705;2016-08;73.7525987526;2
2016;12;89.537463731;2016-12;84.3188137164;3
2016;9;93.1350114416;2016-09;81.0068649886;4
2016;8;87.9464285714;2016-08;74.5535714286;4
2016;8;90.5410665629;2016-08;85.36231884060001;6
2017;3;94.44638491090001;2017-03;88.09619238479999;5
2017;2;94.2045896538;2017-02;87.84922394680001;5
2017;4;91.6605972323;2017-04;87.1969374734;6
2016;10;88.5289256198;2016-10;84.2374213836;6
2016;12;90.2829486225;2016-12;86.821015138;6
2017;10;91.1504424779;2017-10;74.54844006569999;2
2017;8;87.2157872158;2017-08;70.0939199209;2
2017;4;89.2389380531;2017-04;83.4507712817;3
2017;7;85.1648351648;2017-07;79.6542817405;3
2017;10;89.4838145232;2017-10;83.790429355;3
2017;7;85.2857142857;2017-07;70.10014306149999;4
2017;8;88.5345175616;2017-08;86.2637362637;6
2017;11;87.1686108165;2017-11;83.8909541512;6
2017;8;94.1219691403;2017-08;86.0084033613;5
2017;7;91.3284132841;2017-07;82.9041789785;5
2018;3;91.60000000000001;2018-03;85.8;1
2018;2;89.0;2018-02;84.8;3
2018;11;88.4;2018-11;86.5;1
2018;10;90.8;2018-10;80.10000000000001;5
2018;12;88.8;2018-12;70.6;7
2018;12;88.4;2018-12;80.5;4
2018;12;89.4;2018-12;83.1;3
2019;1;92.10000000000001;2019-01;85.6;6
2019;3;91.7;2019-03;90.60000000000001;1
2019;3;91.9;2019-03;74.8;7
2018;7;80.10000000000001;2018-07;88.5;2
2018;12;87.8;2018-12;85.39999999999999;1
2018;2;86.8;2018-02;81.39999999999999;6
2018;3;86.7;2018-03;83.6;6
2018;3;92.10000000000001;2018-03;77.8;4
2018;3;92.2;2018-03;86.4;3
2018;5;87.9;2018-05;71.2;2
2015;4;92.8291228621;2015-04;87.88873531440001;1
2015;4;88.3681622618;2015-04;85.4479458835;3
2015;7;82.4682452564;2015-07;80.1063282456;3
2018;6;85.6;2018-06;71.7;4
2015;8;89.1979768786;2015-08;84.7940403155;6
2015;1;95.7598371777;2015-01;88.6686611818;5
2015;2;94.4152923538;2015-02;87.1127633209;5
2017;9;90.05795809179999;2017-09;66.8287937743;2
2017;9;87.5851079241;2017-09;80.9554867112;1
2017;11;88.0756460228;2017-11;83.0329598961;1
2017;2;91.1323821564;2017-02;85.0717332299;3
2017;8;84.1175376604;2017-08;82.6528579964;3
2017;4;89.7494305239;2017-04;76.4840182648;4
2017;3;90.06168608639999;2017-03;86.4875701684;6
2017;1;89.30555555560001;2017-01;86.1099796334;6
2017;10;90.47294998299999;2017-10;84.5266507558;6
2017;6;87.4010079194;2017-06;83.6501901141;6
