Année;Mois;Axe (Atlantique / Est / Nord / Sud-Est / OUIGO / Europe TGV);Régulatité composite en %;Période;Ponctualité Origine en %
2015;12;Nord;94.1217391304;2015-12;87.5797532965
2015;11;Nord;88.7410440123;2015-11;85.3918752565
2016;4;Est;92.8571428571;2016-04;86.6103739445
2016;6;Europe TGV;85.45454545449999;2016-06;66.68671076369999
2016;11;Atlantique;80.7202680067;2016-11;80.5514705882
2016;10;Atlantique;85.0196463654;2016-10;83.93912265
2016;8;Sud-Est;88.9170131983;2016-08;83.93962848299999
2016;10;Sud-Est;87.1852362884;2016-10;83.1951770912
2016;11;Sud-Est;85.4691689008;2016-11;83.6193447738
2016;9;Nord;91.4352626296;2016-09;85.7257097161
2016;12;Est;94.0822111977;2016-12;86.66117743929999
2016;6;OUIGO;85.6435643564;2016-06;74.0
2016;8;Est;95.7402234637;2016-08;88.016194332
2017;6;Atlantique;81.3188647746;2017-06;77.9996336325
2017;5;Atlantique;87.6128385155;2017-05;83.9269406393
2017;1;Sud-Est;89.21552158579999;2017-01;84.6265673269
2017;3;Sud-Est;91.76512079;2017-03;84.4730177284
2017;2;OUIGO;91.8918918919;2017-02;79.0640394089
2017;5;Nord;90.5807365439;2017-05;86.78232135479999
2017;7;Nord;89.5410082769;2017-07;84.94002665480001
2017;3;OUIGO;90.243902439;2017-03;78.0487804878
2017;1;Est;91.69598874030001;2017-01;83.11582381730001
2017;4;Est;90.795287187;2017-04;86.15384615379999
2018;4;Atlantique;86.3;2018-04;81.10000000000001
2018;4;OUIGO;90.8;2018-04;76.6
2018;2;Atlantique;87.7;2018-02;83.2
2018;2;Est;90.5;2018-02;79.4
2018;2;Europe TGV;89.60000000000001;2018-02;73.8
2018;1;Est;94.3;2018-01;83.89999999999999
2018;1;Europe TGV;88.3;2018-01;74.6
2019;2;Atlantique;93.0;2019-02;90.10000000000001
2019;2;Europe;90.60000000000001;2019-02;71.0
2019;2;Sud-Est;91.2;2019-02;85.9
2019;2;Est;89.8;2019-02;83.0
2019;3;OUIGO;90.60000000000001;2019-03;85.6
2018;7;Atlantique;82.8;2018-07;87.9
2018;8;Est;90.10000000000001;2018-08;81.3
2018;7;Est;89.9;2018-07;87.6
2018;5;Est;92.5;2018-05;74.0
2018;5;OUIGO;88.6;2018-05;76.5
2018;4;Europe TGV;87.8;2018-04;70.39999999999999
2015;6;Europe TGV;88.17863397549999;2015-06;75.4348972061
2015;5;Atlantique;92.1741874408;2015-05;86.8411927878
2015;2;Europe TGV;88.6430678466;2015-02;73.4554750746
2015;1;Nord;91.4851485149;2015-01;84.90566037740001
2015;2;Nord;91.1933860532;2015-02;85.9482758621
2015;5;Nord;90.4648795385;2015-05;86.1758691207
2015;6;Est;92.6215572934;2015-06;85.9357277883
2016;3;Atlantique;89.76052848890001;2016-03;86.1010830325
2015;7;Atlantique;82.4476161555;2015-07;79.3914943688
2016;4;Atlantique;90.4657441782;2016-04;85.7620817844
2016;7;Atlantique;86.544930322;2016-07;81.7297488504
2016;7;Sud-Est;85.0205320478;2016-07;80.52529182880001
2015;8;Sud-Est;87.1633607483;2015-08;82.9605033205
2016;3;OUIGO;90.6818181818;2016-03;80.9090909091
2016;5;Est;93.6626916525;2016-05;87.3804971319
2015;11;Est;93.6765722184;2015-11;86.0696517413
2015;12;Est;95.8885490996;2015-12;88.1845461365
2016;8;Europe TGV;91.2303107705;2016-08;73.7525987526
2016;12;Sud-Est;89.537463731;2016-12;84.3188137164
2016;9;OUIGO;93.1350114416;2016-09;81.0068649886
2016;8;OUIGO;87.9464285714;2016-08;74.5535714286
2016;8;Nord;90.5410665629;2016-08;85.36231884060001
2017;3;Est;94.44638491090001;2017-03;88.09619238479999
2017;2;Est;94.2045896538;2017-02;87.84922394680001
2017;4;Nord;91.6605972323;2017-04;87.1969374734
2016;10;Nord;88.5289256198;2016-10;84.2374213836
2016;12;Nord;90.2829486225;2016-12;86.821015138
2017;10;Europe TGV;91.1504424779;2017-10;74.54844006569999
2017;8;Europe TGV;87.2157872158;2017-08;70.0939199209
2017;4;Sud-Est;89.2389380531;2017-04;83.4507712817
2017;7;Sud-Est;85.1648351648;2017-07;79.6542817405
2017;10;Sud-Est;89.4838145232;2017-10;83.790429355
2017;7;OUIGO;85.2857142857;2017-07;70.10014306149999
2017;8;Nord;88.5345175616;2017-08;86.2637362637
2017;11;Nord;87.1686108165;2017-11;83.8909541512
2017;8;Est;94.1219691403;2017-08;86.0084033613
2017;7;Est;91.3284132841;2017-07;82.9041789785
2018;3;Atlantique;91.60000000000001;2018-03;85.8
2018;2;Sud-Est;89.0;2018-02;84.8
2018;11;Atlantique;88.4;2018-11;86.5
2018;10;Est;90.8;2018-10;80.10000000000001
2018;12;Europe;88.8;2018-12;70.6
2018;12;OUIGO;88.4;2018-12;80.5
2018;12;Sud-Est;89.4;2018-12;83.1
2019;1;Nord;92.10000000000001;2019-01;85.6
2019;3;Atlantique;91.7;2019-03;90.60000000000001
2019;3;Europe;91.9;2019-03;74.8
2018;7;Europe TGV;80.10000000000001;2018-07;88.5
2018;12;Atlantique;87.8;2018-12;85.39999999999999
2018;2;Nord;86.8;2018-02;81.39999999999999
2018;3;Nord;86.7;2018-03;83.6
2018;3;OUIGO;92.10000000000001;2018-03;77.8
2018;3;Sud-Est;92.2;2018-03;86.4
2018;5;Europe TGV;87.9;2018-05;71.2
2015;4;Atlantique;92.8291228621;2015-04;87.88873531440001
2015;4;Sud-Est;88.3681622618;2015-04;85.4479458835
2015;7;Sud-Est;82.4682452564;2015-07;80.1063282456
2018;6;OUIGO;85.6;2018-06;71.7
2015;8;Nord;89.1979768786;2015-08;84.7940403155
2015;1;Est;95.7598371777;2015-01;88.6686611818
2015;2;Est;94.4152923538;2015-02;87.1127633209
2017;9;Europe TGV;90.05795809179999;2017-09;66.8287937743
2017;9;Atlantique;87.5851079241;2017-09;80.9554867112
2017;11;Atlantique;88.0756460228;2017-11;83.0329598961
2017;2;Sud-Est;91.1323821564;2017-02;85.0717332299
2017;8;Sud-Est;84.1175376604;2017-08;82.6528579964
2017;4;OUIGO;89.7494305239;2017-04;76.4840182648
2017;3;Nord;90.06168608639999;2017-03;86.4875701684
2017;1;Nord;89.30555555560001;2017-01;86.1099796334
2017;10;Nord;90.47294998299999;2017-10;84.5266507558
2017;6;Nord;87.4010079194;2017-06;83.6501901141
2016;4;Europe TGV;91.4509037616;2016-04;75.92910234419999
2016;1;Europe TGV;92.4068767908;2016-01;77.1200910643
2016;5;Atlantique;87.5087229588;2016-05;83.7771015595
2016;4;OUIGO;89.7862232779;2016-04;79.80997624700001
2016;4;Nord;94.1540577717;2016-04;83.48700754400001
2016;2;Nord;94.1686914266;2016-02;88.3248730964
2016;3;Nord;91.7006802721;2016-03;85.3394418992
2016;5;Nord;92.0055613486;2016-05;84.7983014862
2015;9;Est;94.2148760331;2015-09;85.5394032135
2016;1;Est;96.1592178771;2016-01;90.3200925569
2016;7;Europe TGV;87.6214617659;2016-07;71.6341212744
2016;5;Sud-Est;88.7785853572;2016-05;85.3695901953
2016;9;Sud-Est;89.2975422695;2016-09;84.2513723263
2016;7;OUIGO;86.31346578370001;2016-07;71.5231788079
2016;7;Nord;87.06011730210001;2016-07;82.5425246195
2016;12;OUIGO;85.8407079646;2016-12;78.5398230088
2016;11;OUIGO;83.9907192575;2016-11;77.030162413
2016;7;Est;93.78511235959999;2016-07;85.0551245406
2016;10;Est;94.2795076032;2016-10;86.3522537563
2016;11;Nord;90.0;2016-11;86.9476268412
2017;11;Sud-Est;86.98864660299999;2017-11;83.7045720985
2018;9;Sud-Est;87.4;2018-09;82.3
2019;2;OUIGO;87.9;2019-02;81.89999999999999
2019;3;Sud-Est;93.7;2019-03;89.5
2019;3;Est;91.0;2019-03;82.89999999999999
2019;3;Nord;89.8;2019-03;84.7
